week;rank;rise;rise_nb;name;artist;last_week;peak;week_chart
"
                January 12, 2019
                ";6;Rising;+1;Happier;Marshmello & Bastille;7;3;20
"
                January 12, 2019
                ";7;Rising;+7;Girls Like You;Maroon 5 Featuring Cardi B;14;1;32
"
                January 12, 2019
                ";8;Rising;+4;Drip Too Hard;Lil Baby & Gunna;12;4;16
"
                January 12, 2019
                ";9;Rising;+6;ZEZE;Kodak Black Featuring Travis Scott & Offset;15;2;12
"
                January 12, 2019
                ";10;Rising;+13;Better Now;Post Malone;23;3;36
"
                January 12, 2019
                ";11;Rising;+10;Eastside;benny blanco, Halsey & Khalid;21;11;25
"
                January 12, 2019
                ";12;Rising;+6;Wake Up In The Sky;Gucci Mane X Bruno Mars X Kodak Black;18;11;16
"
                January 12, 2019
                ";13;Rising;+34;Wow.;Post Malone;47;13;2
"
                January 12, 2019
                ";14;Rising;+10;Youngblood;5 Seconds Of Summer;24;7;31
"
                January 12, 2019
                ";15;Rising;+2;Mo Bamba;Sheck Wes;17;6;19
"
                January 12, 2019
                ";16;Rising;+6;Breathin;Ariana Grande;22;12;20
"
                January 12, 2019
                ";17;Rising;+2;Money;Cardi B;19;13;11
"
                January 12, 2019
                ";18;Rising;+9;Lucid Dreams;Juice WRLD;27;2;34
"
                January 12, 2019
                ";19;Rising;+11;Taki Taki;DJ Snake Featuring Selena Gomez, Ozuna & Cardi B;30;11;14
"
                January 12, 2019
                ";20;Rising;+11;MIA;Bad Bunny Featuring Drake;31;5;12
"
                January 12, 2019
                ";21;Rising;+15;Going Bad;Meek Mill Featuring Drake;36;6;5
"
                January 12, 2019
                ";22;Rising;+11;Leave Me Alone;Flipp Dinero;33;22;16
"
                January 12, 2019
                ";23;Rising;+15;Trip;Ella Mai;38;11;22
"
                January 12, 2019
                ";24;Rising;+17;Speechless;Dan + Shay;41;24;17
"
                January 12, 2019
                ";25;Rising;+21;Natural;Imagine Dragons;46;13;24
"
                January 12, 2019
                ";26;Rising;+13;I Like It;Cardi B, Bad Bunny & J Balvin;39;1;39
"
                January 12, 2019
                ";27;Rising;+21;Love Lies;Khalid & Normani;48;9;46
"
                January 12, 2019
                ";28;Rising;+22;Beautiful;Bazzi Featuring Camila Cabello;50;28;22
"
                January 12, 2019
                ";29;Rising;+23;Shallow;Lady Gaga & Bradley Cooper;52;5;14
"
                January 12, 2019
                ";30;Rising;+21;Better;Khalid;51;29;16
"
                January 12, 2019
                ";31;Rising;+23;She Got The Best Of Me ;Luke Combs;54;31;21
"
                January 12, 2019
                ";32;New;-;Baby Shark;Pinkfong;-;32;1
"
                January 12, 2019
                ";33;Rising;+27;Close To Me;Ellie Goulding X Diplo Featuring Swae Lee;60;33;7
"
                January 12, 2019
                ";34;Rising;+25;You Say;Lauren Daigle;59;34;25
"
                January 12, 2019
                ";35;Rising;+21;Uproar;Lil Wayne;56;7;14
"
                January 12, 2019
                ";36;Rising;+1;A Lot;21 Savage;37;36;2
"
                January 12, 2019
                ";37;Rising;+24;Best Shot;Jimmie Allen;61;37;16
"
                January 12, 2019
                ";38;Rising;+19;Swervin;A Boogie Wit da Hoodie Featuring 6ix9ine;57;38;2
"
                January 12, 2019
                ";39;Rising;+25;Drunk Me;Mitchell Tenpenny;64;39;21
"
                January 12, 2019
                ";40;Rising;+23;Be Alright;Dean Lewis;63;40;10
"
                January 12, 2019
                ";41;Rising;+42;Sweet But Psycho;Ava Max;83;41;3
"
                January 12, 2019
                ";42;Rising;+37;Sixteen;Thomas Rhett;79;42;8
"
                January 12, 2019
                ";43;Rising;+29;Talk To Me;Tory Lanez & Rich The Kid;72;43;10
"
                January 12, 2019
                ";44;Rising;+25;Backin' It Up;Pardison Fontaine Featuring Cardi B;69;44;12
"
                January 12, 2019
                ";45;Rising;+35;Burning Man;Dierks Bentley Featuring Brothers Osborne;80;45;11
"
                January 12, 2019
                ";46;Rising;+16;Dangerous;Meek Mill Featuring Jeremih & PnB Rock;62;31;20
